,Genre,%_Women_Cast,%_Men_Cast,%_Women_Directors,%_Men_Directors
0,Thriller,47.06,52.94,0.0,100.0
1,Mystery,27.27,72.73,0.0,100.0
2,Heist Film,12.5,83.33,0.0,100.0
3,Kidnapping Film / Disappearance,26.67,73.33,0.0,100.0
4,Drama,25.0,66.67,0.0,100.0
5,Crime,20.83,75.0,0.0,100.0
6,Spy Film,15.38,84.62,0.0,100.0
7,Prison Drama,0.0,100.0,0.0,100.0
8,Action,28.0,68.0,0.0,100.0
9,Cop Movies,50.0,33.33,0.0,100.0
10,Teen/coming-of-age,30.77,69.23,0.0,100.0
11,Schools & University,33.33,66.67,0.0,100.0
12,Bullying,57.14,42.86,42.86,57.14
13,Supernatural,41.67,50.0,0.0,100.0
14,Time Travel,29.17,70.83,0.0,100.0
15,1980s,32.0,64.0,0.0,100.0
16,Based on a Comic,32.0,64.0,0.0,100.0
17,Fantasy,47.06,52.94,0.0,100.0
18,DC Comics,35.48,64.52,0.0,100.0
19,Mafia,30.23,67.44,0.0,100.0
20,1910s,66.67,33.33,0.0,100.0
21,1920s,26.09,67.39,0.0,100.0
22,Neo-noir,40.62,59.38,0.0,100.0
23,Musical,54.17,45.83,100.0,0.0
24,Revenge,0.0,0.0,0.0,100.0
25,Telenovela / Latino Soap Opera,39.02,56.1,0.0,100.0
26,Documentary,0.0,100.0,0.0,100.0
27,TV Miniseries,27.78,72.22,50.0,50.0
28,Based On A True Story,33.33,66.67,0.0,100.0
29,Biography,20.0,80.0,0.0,100.0
30,Sexual Abuse,25.0,69.44,66.67,33.33
31,Sci-Fi,33.33,66.67,50.0,50.0
32,Trains,6.25,93.75,0.0,100.0
33,Post-apocalyptic Future,20.0,70.0,0.0,100.0
34,Dystopia,30.77,61.54,0.0,100.0
35,Drugs,30.0,70.0,0.0,100.0
36,Journalism,55.56,44.44,0.0,100.0
37,Black Comedy,21.62,75.68,0.0,100.0
38,Disease/illness,0.0,0.0,0.0,100.0
39,Family Relationships,47.06,52.94,0.0,100.0
40,1970s,43.48,54.35,0.0,100.0
41,1990s,75.0,8.33,0.0,100.0
42,Planes,44.44,44.44,0.0,100.0
43,Romance,40.0,60.0,0.0,100.0
44,Adventure,30.43,60.87,0.0,100.0
45,Superheroes,0.0,0.0,0.0,100.0
46,Courtroom Drama,0.0,0.0,0.0,100.0
