,Title,Women_Cast,Men_Cast,Not_Set_Cast,Total_Cast
0,Money Heist,11,26,2,39
1,The Blacklist,9,15,0,24
2,Locked Up,21,9,2,32
3,Prison Break,4,15,2,21
4,13 Reasons Why,12,22,1,35
5,Dark,17,19,0,36
6,Riverdale,7,9,2,18
7,Lucifer,12,25,2,39
8,Peaky Blinders,6,28,1,35
9,The Queen of Flow,8,10,3,21
10,Jeffrey Epstein: Filthy Rich,0,1,0,1
11,Snowpiercer,23,22,0,45
12,"Pablo Escobar, el patrón del mal",15,17,5,37
13,Breaking Bad,7,25,0,32
14,White Lines,9,19,3,31
15,Narcos,10,34,5,49
16,La piloto,8,8,2,18
17,La Reina del Sur,12,22,1,35
18,Toy Boy,8,11,2,21
19,Unauthorized Living,35,50,17,102
20,Arrow,15,19,0,34
21,Ozark,12,27,0,39
22,How to Get Away With Murder,12,12,0,24
23,Sons of Anarchy,10,31,2,43
24,El Dragón: Return of a Warrior,11,18,3,32
25,The Alcàsser Murders,0,3,0,3
26,The Sinner,19,11,1,31
27,Queen of the South,8,11,1,20
28,Surviving Escobar - Alias JJ,6,11,1,18
29,Narcos: Mexico,10,41,4,55
30,You,25,42,1,68
31,El Chapo,6,16,1,23
32,Brooklyn Nine-Nine,7,18,0,25
33,Nicky Jam: El Ganador,33,64,7,104
34,Cocaine Coast,14,23,4,41
35,Titans,6,19,1,26
36,Designated Survivor,15,16,0,31
37,Scorpion,7,13,0,20
38,The Woods,6,10,0,16
39,Las muñecas de la mafia,7,8,0,15
40,Marvel's Iron Fist,6,19,2,27
41,Fauda,6,19,2,27
42,Better Call Saul,7,11,0,18
43,MINDHUNTER,11,20,0,31
44,Shooter,7,27,0,34
45,Gotham,13,22,1,36
46,Mar de plástico,4,13,4,21
47,The Search,11,12,2,25
48,Enemigo íntimo,23,45,7,75
49,Sherlock,8,10,0,18
50,One-Punch Man,0,0,0,0
51,Marvel's The Punisher,15,40,3,58
52,When They See Us,13,31,3,47
53,Dueños del paraíso,21,23,2,46
54,La Niña,18,14,1,33
55,Black Money Love,7,9,4,20
56,La bella y las bestias,11,12,6,29
57,The Inmate,9,24,4,37
58,Marvel's Daredevil,7,12,1,20
59,High Seas,8,11,1,20
60,Falsa identidad,20,36,3,59
61,The Disappearance of Madeleine McCann,0,0,0,0
62,The Alienist,4,12,0,16
63,Dare Me,13,19,3,35
64,Broadchurch,12,13,0,25
65,Unbelievable,9,25,2,36
66,Freud,4,7,0,11
67,Bodyguard,12,29,0,41
68,Travelers,6,10,1,17
69,"Tiger King: Murder, Mayhem and Madness",7,18,0,25
70,Henry Danger,7,8,0,15
71,Valeria,12,8,3,23
72,Modern Family,8,29,0,37
73,Sex Education,14,15,0,29
74,Friends,27,29,0,56
75,The Big Bang Theory,9,9,0,18
76,The Loud House,0,0,0,0
77,SpongeBob SquarePants,0,0,0,0
78,Teen Titans Go!,0,0,0,0
79,Chica Vampiro,22,21,8,51
80,Fuller House,6,13,0,19
81,The Boss Baby: Back in Business,0,0,0,0
82,Never Have I Ever,22,20,2,44
83,Suits,19,9,1,29
84,Sonic Boom,0,0,0,0
85,Victorious,6,14,0,20
86,Clarence,0,0,0,0
87,How I Met Your Mother,10,8,0,18
88,The House of Flowers,23,23,3,49
89,The Fresh Prince of Bel-Air,7,6,0,13
90,Pup Academy,7,23,1,31
91,Sam & Cat,6,5,1,12
92,A Series of Unfortunate Events,7,19,1,27
93,Insatiable,12,9,0,21
94,Paquita Salas,37,21,7,65
95,Jane The Virgin,18,7,0,25
96,Orange Is the New Black,28,9,0,37
97,Gilmore Girls,6,8,0,14
98,iZombie,23,11,0,34
99,The Garfield Show,0,0,0,0
100,The End of the F***ing World,8,8,0,16
101,Space Force,12,24,0,36
102,Atypical,5,5,0,10
103,Disenchantment,0,0,0,0
104,Adventure Time,0,0,0,0
105,Kipo and the Age of Wonderbeasts,0,0,0,0
106,Malibu Rescue: The Series,12,13,1,26
107,Dead to Me,11,7,0,18
108,The Road to Love,11,7,1,19
109,Regular Show,0,0,0,0
110,Glee,13,16,0,29
111,The InBESTigators,17,14,1,32
112,The Big Show Show,13,16,3,32
113,Workin' Moms,38,36,0,74
114,The Good Place,8,13,0,21
115,Rabbids Invasion,0,0,0,0
116,We Bare Bears,0,0,0,0
117,Grace and Frankie,5,11,0,16
118,On My Block,9,10,0,19
119,I Am Not Okay With This,5,11,0,16
120,Grizzy and the Lemmings,0,0,0,0
121,Community,12,35,2,49
122,Barbie Life in the Dreamhouse,0,0,0,0
123,Rebelde Way,19,16,5,40
124,The Epic Tales of Captain Underpants,0,0,0,0
125,The Neighbor,14,28,4,46
126,Crash Landing on You,6,15,1,22
127,Angry Birds,0,0,0,0
128,Pac-Man and the Ghostly Adventures,0,0,0,0
129,You Me Her,8,9,0,17
130,Larva,0,0,0,0
131,Always a Witch,6,6,1,13
132,Larva Island,0,0,0,0
133,The Hockey Girls,12,8,4,24
134,Dragons: Rescue Riders,0,0,0,0
135,Good Girls,16,21,1,38
136,Trolls: The Beat Goes On!,0,0,0,0
137,How to Sell Drugs Online (Fast),16,21,0,37
138,Skylanders Academy,0,0,0,0
139,Daybreak,13,17,3,33
140,PAW Patrol,0,0,0,0
141,Stranger Things,4,13,0,17
142,The Last Dance,3,32,1,36
143,The 100,16,16,0,32
144,Cable Girls,19,18,4,41
145,Peppa Pig,0,0,0,0
146,Miraculous: Tales of Ladybug & Cat Noir,0,0,0,0
147,Anne with an E,11,11,1,23
148,Vikings,16,32,0,48
149,H2O: Just Add Water,7,6,0,13
150,ALVINNN!!! And the Chipmunks,0,0,0,0
151,Naruto,0,0,0,0
152,Curon,3,5,0,8
153,Dynasty,12,6,2,20
154,Attack on Titan,0,0,0,0
155,Pokémon the Series: Sun & Moon,0,0,0,0
156,Minecraft: Story Mode,0,0,0,0
157,Mako Mermaids: An H2O Adventure,10,4,0,14
158,The Seven Deadly Sins,0,0,0,0
159,The Crown,9,21,0,30
160,Merlí,12,14,3,29
161,Sin senos sí hay paraíso,20,13,5,38
162,Outlander,7,18,2,27
163,Free Rein,7,5,0,12
164,Teen Wolf,16,29,3,48
165,The Last Kingdom,6,22,0,28
166,Barbie Dreamhouse Adventures,0,0,0,0
167,Simon,0,0,0,0
168,Avatar: The Last Airbender,0,0,0,0
169,The Witcher,23,44,2,69
170,Gossip Girl,8,9,0,17
171,Unorthodox,9,15,0,24
172,Masha and the Bear,0,0,0,0
173,Power Rangers Ninja Steel,5,17,0,22
174,Pasión de Gavilanes,18,8,2,28
175,Go! Live Your Way,10,8,2,20
176,Marvel's Jessica Jones,13,15,0,28
177,El marginal,10,11,2,23
178,The Valhalla Murders,7,15,12,34
179,Marvel's Luke Cage,8,25,1,34
180,Manhunt,2,10,0,12
181,El Chema,11,25,2,38
182,Bitter Daisies,6,4,0,10
183,Alias Grace,5,12,0,17
184,The Stranger,12,18,2,32
185,Undercover Law,6,13,2,21
186,Ingobernable,10,17,2,29
187,Luther,3,5,0,8
188,Hache,4,6,1,11
189,Suburra: Blood on Rome,6,8,0,14
190,Extracurricular,2,5,0,7
191,BAKI,0,0,0,0
192,JoJo's Bizarre Adventure,0,0,0,0
193,Haikyu!!,0,0,0,0
194,DEATH NOTE,0,0,0,0
195,Sword Art Online,0,0,0,0
196,Darling in the Franxx,0,0,0,0
197,Tokyo Ghoul,0,0,0,0
198,Fairy Tail,0,0,0,0
199,Cardcaptor Sakura,0,0,0,0
200,KENGAN ASHURA,0,0,0,0
201,BEASTARS,0,0,0,0
202,​SAINT SEIYA: Knights of the Zodiac,0,0,0,0
203,Neon Genesis Evangelion,0,0,0,0
204,Fullmetal Alchemist: Brotherhood,0,0,0,0
205,Noragami,0,0,0,0
206,Castlevania,0,0,0,0
207,Your lie in April,0,0,0,0
208,Kakegurui,0,0,0,0
209,Re:Zero - Starting Life in Another World,0,0,0,0
210,InuYasha,0,0,0,0
211,Akame ga Kill!,0,0,0,0
212,Seraph of the End,0,0,0,0
213,Dorohedoro,0,0,0,0
214,Toradora!,0,0,0,0
215,Little Witch Academia,0,0,0,0
216,Blue Exorcist,0,0,0,0
217,Is It Wrong to Try to Pick Up Girls in a Dungeon?,0,0,0,0
218,Erased,0,0,0,0
219,Psycho-Pass,0,0,0,0
220,No Game No Life,0,0,0,0
221,Saint Seiya: The Lost Canvas,0,0,0,0
222,High School of the Dead,0,0,0,0
223,The Disastrous Life of Saiki K.,0,0,0,0
224,Glitter Force,0,0,0,0
225,ReLIFE,0,0,0,0
226,Code Geass: Lelouch of the Rebellion,0,0,0,0
227,Devilman Crybaby,0,0,0,0
228,Violet Evergarden,0,0,0,0
229,Fullmetal Alchemist,0,0,0,0
230,Teasing Master Takagi-san,0,0,0,0
231,Hi Score Girl,0,0,0,0
232,Black Lagoon,0,0,0,0
233,Magi: Adventure of Sinbad,0,0,0,0
234,STEINS;GATE,0,0,0,0
235,Made in Abyss,0,0,0,0
236,The Asterisk War,0,0,0,0
237,Anohana: The Flower We Saw That Day,0,0,0,0
238,Hellsing Ultimate,0,0,0,0
239,Vampire Knight,0,0,0,0
240,The Ancient Magus' Bride,0,0,0,0
241,Saint Seiya: Soul of Gold,0,0,0,0
242,Charlotte,0,0,0,0
243,Aggretsuko,0,0,0,0
244,The Slayers,0,0,0,0
245,Gangsta.,0,0,0,0
246,Ghost in the Shell: SAC_2045,0,0,0,0
247,SWORDGAI The Animation,0,0,0,0
248,Ultramarine Magmell,0,0,0,0
249,Devil May Cry,0,0,0,0
250,Angel Beats!,0,0,0,0
251,Fate/Apocrypha,0,0,0,0
252,Fate/Zero,0,0,0,0
