,Title,Women_Directors,Men_Directors,Not_Set_Directors,Total_Directors
0,Money Heist,0,5,2,7
1,The Blacklist,4,32,0,36
2,Locked Up,2,3,4,9
3,Prison Break,1,30,1,32
4,13 Reasons Why,2,5,0,7
5,Dark,0,3,0,3
6,Riverdale,2,8,0,10
7,Lucifer,4,15,1,20
8,Peaky Blinders,0,6,0,6
9,The Queen of Flow,1,1,0,2
10,Jeffrey Epstein: Filthy Rich,1,0,0,1
11,Snowpiercer,1,5,0,6
12,"Pablo Escobar, el patrón del mal",1,1,0,2
13,Breaking Bad,3,22,1,26
14,White Lines,1,2,1,4
15,Narcos,0,9,2,11
16,La piloto,0,5,0,5
17,La Reina del Sur,0,2,0,2
18,Toy Boy,1,2,1,4
19,Unauthorized Living,1,5,1,7
20,Arrow,7,37,2,46
21,Ozark,3,8,0,11
22,How to Get Away With Murder,7,17,0,24
23,Sons of Anarchy,2,19,0,21
24,El Dragón: Return of a Warrior,0,3,0,3
25,The Alcàsser Murders,0,0,1,1
26,The Sinner,1,4,0,5
27,Queen of the South,1,3,2,6
28,Surviving Escobar - Alias JJ,0,3,0,3
29,Narcos: Mexico,1,6,1,8
30,You,9,7,0,16
31,El Chapo,1,3,0,4
32,Brooklyn Nine-Nine,7,39,0,46
33,Nicky Jam: El Ganador,1,0,0,1
34,Cocaine Coast,0,3,0,3
35,Titans,0,6,0,6
36,Designated Survivor,1,13,0,14
37,Scorpion,2,5,0,7
38,The Woods,0,2,0,2
39,Las muñecas de la mafia,0,2,0,2
40,Marvel's Iron Fist,2,11,0,13
41,Fauda,0,4,0,4
42,Better Call Saul,4,11,0,15
43,MINDHUNTER,0,7,0,7
44,Shooter,2,8,0,10
45,Gotham,7,21,1,29
46,Mar de plástico,0,2,0,2
47,The Search,2,1,0,3
48,Enemigo íntimo,0,2,0,2
49,Sherlock,0,9,0,9
50,One-Punch Man,0,4,2,6
51,Marvel's The Punisher,5,15,0,20
52,When They See Us,2,0,0,2
53,Dueños del paraíso,1,1,2,4
54,La Niña,0,2,0,2
55,Black Money Love,0,1,0,1
56,La bella y las bestias,0,1,0,1
57,The Inmate,1,3,0,4
58,Marvel's Daredevil,2,16,0,18
59,High Seas,1,4,0,5
60,Falsa identidad,0,3,0,3
61,The Disappearance of Madeleine McCann,0,1,0,1
62,The Alienist,0,5,0,5
63,Dare Me,5,2,0,7
64,Broadchurch,1,8,0,9
65,Unbelievable,4,2,0,6
66,Freud,0,1,0,1
67,Bodyguard,0,3,0,3
68,Travelers,0,5,0,5
69,"Tiger King: Murder, Mayhem and Madness",1,1,0,2
70,Henry Danger,1,6,0,7
71,Valeria,3,0,0,3
72,Modern Family,6,25,0,31
73,Sex Education,4,1,0,5
74,Friends,8,22,0,30
75,The Big Bang Theory,1,11,0,12
76,The Loud House,0,3,0,3
77,SpongeBob SquarePants,0,14,0,14
78,Teen Titans Go!,1,15,0,16
79,Chica Vampiro,0,2,1,3
80,Fuller House,2,9,0,11
81,The Boss Baby: Back in Business,0,8,0,8
82,Never Have I Ever,1,3,0,4
83,Suits,2,8,0,10
84,Sonic Boom,2,1,0,3
85,Victorious,0,6,0,6
86,Clarence,1,5,0,6
87,How I Met Your Mother,1,5,0,6
88,The House of Flowers,0,5,1,6
89,The Fresh Prince of Bel-Air,7,5,0,12
90,Pup Academy,1,2,0,3
91,Sam & Cat,0,4,0,4
92,A Series of Unfortunate Events,1,8,0,9
93,Insatiable,3,4,0,7
94,Paquita Salas,0,3,0,3
95,Jane The Virgin,13,9,1,23
96,Orange Is the New Black,3,5,0,8
97,Gilmore Girls,4,14,0,18
98,iZombie,2,14,1,17
99,The Garfield Show,0,1,0,1
100,The End of the F***ing World,2,3,0,5
101,Space Force,0,4,0,4
102,Atypical,6,8,0,14
103,Disenchantment,1,8,0,9
104,Adventure Time,4,12,0,16
105,Kipo and the Age of Wonderbeasts,0,2,0,2
106,Malibu Rescue: The Series,1,2,0,3
107,Dead to Me,4,1,0,5
108,The Road to Love,0,2,0,2
109,Regular Show,0,2,1,3
110,Glee,2,12,0,14
111,The InBESTigators,2,3,0,5
112,The Big Show Show,1,2,0,3
113,Workin' Moms,6,2,0,8
114,The Good Place,5,11,0,16
115,Rabbids Invasion,0,5,0,5
116,We Bare Bears,0,2,0,2
117,Grace and Frankie,8,18,0,26
118,On My Block,1,2,0,3
119,I Am Not Okay With This,0,1,0,1
120,Grizzy and the Lemmings,0,1,0,1
121,Community,4,22,0,26
122,Barbie Life in the Dreamhouse,0,1,0,1
123,Rebelde Way,1,2,0,3
124,The Epic Tales of Captain Underpants,0,1,0,1
125,The Neighbor,3,5,1,9
126,Crash Landing on You,0,1,0,1
127,Angry Birds,0,3,0,3
128,Pac-Man and the Ghostly Adventures,0,1,0,1
129,You Me Her,1,1,0,2
130,Larva,0,0,1,1
131,Always a Witch,1,1,0,2
132,Larva Island,0,0,1,1
133,The Hockey Girls,1,1,0,2
134,Dragons: Rescue Riders,0,3,1,4
135,Good Girls,3,4,1,8
136,Trolls: The Beat Goes On!,1,4,0,5
137,How to Sell Drugs Online (Fast),0,4,0,4
138,Skylanders Academy,0,1,0,1
