,Title,Year_Release,Country,Country_Code,Continent,RatingAverage,Votes,Genres,Most_Common_Gender_Cast,Most_Common_Gender_Directors,Cover_Image_Path,Cover_Image_Colors,Cover_Image_Top_Color,Cover_Image_Top5_Colors
0,Money Heist,2017,Spain,ESP,Europe,7.1,25691.0,"TV Series, Thriller, Mystery, Heist Film, Kidnapping Film / Disappearance",Men,Men,covers/MoneyHeistTVSeries.jpg,"[[[2 2 2]
  [0 3 2]
  [0 6 4]
  ...
  [2 2 4]
  [2 2 4]
  [2 2 4]]

 [[3 1 2]
  [0 3 2]
  [0 6 4]
  ...
  [2 2 4]
  [2 2 4]
  [2 2 4]]

 [[5 0 4]
  [1 2 4]
  [0 6 4]
  ...
  [2 2 4]
  [2 2 4]
  [2 2 4]]

 ...

 [[3 3 5]
  [3 3 5]
  [3 3 5]
  ...
  [3 3 5]
  [3 3 5]
  [3 3 5]]

 [[3 3 5]
  [3 3 5]
  [3 3 5]
  ...
  [3 3 5]
  [3 3 5]
  [3 3 5]]

 [[3 3 5]
  [3 3 5]
  [3 3 5]
  ...
  [3 3 5]
  [3 3 5]
  [3 3 5]]]","[array([51.44381708, 39.98374906, 38.16654573])]","[array([44.60585366, 40.27210131, 36.4530394 ]), array([166.17702177,  19.66397578,  29.62995531]), array([163.46017567, 159.2225696 , 152.85023076]), array([13.00935439, 10.69540276, 11.71479113]), array([99.69541656, 91.56104727, 84.10537999])]"
1,The Blacklist,2013,United States of America,USA,Americas,6.4,5148.0,"TV Series, Mystery, Drama, Crime, Spy Film",Men,Men,covers/TheBlacklistTVSeries.jpg,"[[[234 234 234]
  [235 235 235]
  [237 237 237]
  ...
  [232 238 236]
  [226 235 232]
  [219 228 225]]

 [[234 234 234]
  [235 235 235]
  [237 237 237]
  ...
  [232 238 236]
  [226 235 232]
  [219 228 225]]

 [[234 234 234]
  [235 235 235]
  [237 237 237]
  ...
  [231 237 235]
  [225 234 231]
  [219 228 225]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]","[array([105.4133    ,  88.02165   ,  87.80863333])]","[array([4.0819289 , 1.642689  , 1.79175764]), array([203.02491979,   8.52673797,  11.26705882]), array([79.09154705, 50.0738437 , 50.14481659]), array([231.99515294, 234.13037763, 233.34457924]), array([167.15477866, 164.83060937, 161.4024245 ])]"
2,Locked Up,2015,Spain,ESP,Europe,7.0,6941.0,"TV Series, Thriller, Drama, Prison Drama",Women,Men,covers/LockedUpTVSeries.jpg,"[[[ 52  71  49]
  [ 34  53  31]
  [ 32  51  29]
  ...
  [ 16  25   6]
  [119 132 104]
  [ 54  68  33]]

 [[ 52  71  51]
  [ 34  53  31]
  [ 31  50  30]
  ...
  [ 16  25   6]
  [122 135 105]
  [ 56  70  35]]

 [[ 51  70  51]
  [ 33  52  32]
  [ 31  50  31]
  ...
  [ 17  26   7]
  [127 140 110]
  [ 62  76  40]]

 ...

 [[ 20  13   5]
  [ 20  13   5]
  [ 20  13   5]
  ...
  [ 41  22   5]
  [ 41  22   5]
  [ 41  22   5]]

 [[ 20  13   5]
  [ 20  13   5]
  [ 20  13   5]
  ...
  [ 41  22   5]
  [ 41  22   5]
  [ 41  22   5]]

 [[ 20  13   5]
  [ 20  13   5]
  [ 20  13   5]
  ...
  [ 41  22   5]
  [ 41  22   5]
  [ 41  22   5]]]","[array([110.95724603,  94.29590476,  44.25852381])]","[array([139.47696583, 104.59389518,  43.12617776]), array([77.19807923, 53.98284019, 21.32472989]), array([201.90579742, 169.30052625,  61.05740878]), array([19.52933033, 17.83522897,  8.04025625]), array([217.35092811, 229.07330408, 153.85001687])]"
3,Prison Break,2005,United States of America,USA,Americas,7.3,71511.0,"TV Series, Action, Drama, Prison Drama, Cop Movies",Men,Men,covers/PrisonBreakTVSeries.jpg,"[[[  0   0   5]
  [ 43  46  51]
  [ 39  44  48]
  ...
  [ 35  43  46]
  [ 51  55  58]
  [  0   1   4]]

 [[ 55  58  63]
  [206 209 214]
  [234 239 243]
  ...
  [233 241 244]
  [212 217 220]
  [ 55  59  62]]

 [[ 26  29  34]
  [229 232 237]
  [232 237 241]
  ...
  [247 255 255]
  [234 239 242]
  [ 29  34  37]]

 ...

 [[ 45  45  45]
  [249 249 249]
  [255 255 255]
  ...
  [253 253 253]
  [255 255 255]
  [ 28  28  28]]

 [[ 42  42  42]
  [220 220 220]
  [249 249 249]
  ...
  [242 242 242]
  [237 237 237]
  [ 54  54  54]]

 [[  6   6   6]
  [ 77  77  77]
  [ 38  38  38]
  ...
  [ 41  41  41]
  [ 63  63  63]
  [  0   0   0]]]","[array([151.04490287, 148.50053613, 151.09462315])]","[array([244.37441508, 244.96000267, 245.26915192]), array([86.61461847, 66.23207497, 68.95496653]), array([129.28634205, 130.71709264, 137.48989797]), array([15.3477043 , 14.86319165, 17.64519141]), array([189.09273026, 189.6002124 , 192.81116046])]"
4,13 Reasons Why,2017,United States of America,USA,Americas,6.8,21496.0,"TV Series, Drama, Mystery, Teen/coming-of-age, Schools & University, Bullying",Men,Men,covers/ThirteenReasonsWhyTVSeries.jpg,"[[[ 2  6 15]
  [ 2  6 15]
  [ 2  6 15]
  ...
  [ 2  6 15]
  [ 2  6 15]
  [ 2  6 15]]

 [[ 2  6 15]
  [ 2  6 15]
  [ 2  6 15]
  ...
  [ 2  6 15]
  [ 2  6 15]
  [ 2  6 15]]

 [[ 2  6 15]
  [ 2  6 15]
  [ 2  6 15]
  ...
  [ 2  6 15]
  [ 2  6 15]
  [ 2  6 15]]

 ...

 [[ 3  4  9]
  [ 1  4  9]
  [ 3  4  9]
  ...
  [ 9 19 31]
  [ 7 19 31]
  [ 7 19 31]]

 [[ 7 11 20]
  [ 7 11 20]
  [ 8 12 21]
  ...
  [ 9 19 31]
  [ 7 19 31]
  [ 7 19 31]]

 [[ 8 15 25]
  [ 9 16 26]
  [10 17 27]
  ...
  [ 9 19 31]
  [ 7 19 31]
  [ 7 19 31]]]","[array([29.97132584, 30.93176779, 37.90396255])]","[array([218.37710702, 213.10976088, 210.22696982]), array([ 5.41272562,  7.06061987, 13.04289881]), array([147.22574627, 129.36442786, 121.50761816]), array([21.98580266, 27.40405936, 39.22507212]), array([77.14322251, 65.12721723, 63.50169128])]"
5,Dark,2017,Germany,DEU,Europe,7.6,18042.0,"TV Series, Mystery, Supernatural, Kidnapping Film / Disappearance, Time Travel, 1980s",Men,Men,covers/DarkTVSeries.jpg,"[[[ 55  94 101]
  [ 56  95 102]
  [ 60  99 106]
  ...
  [ 62 106 109]
  [ 56 100 103]
  [ 40  84  87]]

 [[ 23  60  68]
  [ 47  86  93]
  [ 67 104 112]
  ...
  [ 54  98 101]
  [ 53  94  98]
  [ 36  80  83]]

 [[ 56  90  99]
  [ 51  88  96]
  [ 41  75  84]
  ...
  [ 33  74  78]
  [ 42  81  86]
  [ 44  85  89]]

 ...

 [[ 11  14  23]
  [  9  13  22]
  [  9  12  21]
  ...
  [  9  13  22]
  [ 11  15  24]
  [  7  11  20]]

 [[ 20  24  33]
  [ 14  18  27]
  [ 11  15  24]
  ...
  [ 14  18  27]
  [ 17  21  30]
  [ 15  19  28]]

 [[ 18  25  33]
  [ 11  18  26]
  [  6  13  21]
  ...
  [ 13  17  26]
  [ 17  21  30]
  [ 16  20  29]]]","[array([46.361603  , 63.31669663, 69.96243446])]","[array([11.11839086, 18.94732934, 26.76083337]), array([186.19380078, 205.33117665, 209.17454108]), array([63.50158906, 88.83181818, 94.82350333]), array([33.80630793, 52.53981823, 60.40661837]), array([113.48669236, 138.28248899, 138.51688693])]"
6,Riverdale,2017,United States of America,USA,Americas,6.1,1901.0,"TV Series, Drama, Based on a Comic, Teen/coming-of-age",Men,Men,covers/RiverdaleTVSeries.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [101  40   9]
  [ 97  43   7]
  [ 96  44   5]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 94  37   7]
  [ 93  40   6]
  [ 92  42   5]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 84  35   3]
  [ 82  36   2]
  [ 81  37   0]]

 ...

 [[  1  57  70]
  [  1  54  68]
  [  3  52  67]
  ...
  [  0   1   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0  58  69]
  [  0  54  66]
  [  1  50  64]
  ...
  [  0   1   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0  58  69]
  [  0  55  66]
  [  2  50  64]
  ...
  [  0   1   0]
  [  0   0   0]
  [  0   0   0]]]","[array([46.00853488, 45.80456589, 54.07097674])]","[array([ 8.88976715,  8.03925595, 19.65074464]), array([205.25898679, 158.11260659, 134.88078917]), array([ 47.74251667, 140.05021989, 177.95630586]), array([118.9813661 ,  67.52296066,  55.89471559]), array([19.18777782, 52.68751752, 72.41912619])]"
7,Lucifer,2016,United States of America,USA,Americas,5.8,1992.0,"TV Series, Fantasy, Supernatural, Based on a Comic, DC Comics",Men,Men,covers/LuciferTVSeries.jpg,"[[[91  7  7]
  [92  8  8]
  [92  8  8]
  ...
  [86  8  8]
  [87  9  9]
  [88 10 10]]

 [[95 11 11]
  [95 11 11]
  [94 10 10]
  ...
  [84  6  6]
  [85  7  7]
  [85  7  7]]

 [[90  6  6]
  [89  5  5]
  [88  4  4]
  ...
  [81  3  3]
  [82  4  4]
  [83  5  5]]

 ...

 [[41  1  1]
  [41  1  1]
  [41  1  1]
  ...
  [34  0  0]
  [35  1  0]
  [35  1  0]]

 [[41  1  1]
  [41  1  1]
  [41  1  1]
  ...
  [35  1  0]
  [35  1  0]
  [35  1  0]]

 [[42  2  2]
  [42  2  2]
  [42  2  2]
  ...
  [35  1  0]
  [35  1  0]
  [36  2  1]]]","[array([71.69135886, 11.69383634, 12.07144895])]","[array([114.82862749,   7.87786602,   8.50225171]), array([93.74714882, 76.79026426, 76.66954103]), array([54.03046818,  6.09594623,  6.43000623]), array([197.66874513, 187.98636009, 187.62470772]), array([13.66295153,  4.07841792,  4.23199588])]"
8,Peaky Blinders,2013,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,8.1,26208.0,"TV Series, Drama, Thriller, Mafia, 1910s, 1920s, Crime, Neo-noir",Men,Men,covers/PeakyBlindersTVSeries.jpg,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 0 5]
  [1 0 5]
  [1 0 5]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 0 5]
  [1 0 5]
  [1 0 5]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 0 5]
  [1 0 5]
  [1 0 5]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]","[array([63.29226054, 60.49408429, 53.38022989])]","[array([3.30642167, 5.47736409, 8.01726381]), array([190.51399035, 165.72074431, 131.80351482]), array([57.99671639, 58.38164931, 49.26418989]), array([217.36614834, 216.38997651, 208.80064884]), array([120.62358578, 111.76858693,  91.6944701 ])]"
9,The Queen of Flow,2018,Colombia,COL,Americas,6.6,217.0,"TV Series, Drama, Musical, Revenge, Telenovela / Latino Soap Opera",Men,Men,covers/TheQueenofFlowTVSeries.jpg,"[[[ 27  72  95]
  [ 27  72  95]
  [ 27  72  95]
  ...
  [ 26  71 102]
  [ 26  71 102]
  [ 26  71 102]]

 [[ 27  72  95]
  [ 27  72  95]
  [ 27  72  95]
  ...
  [ 26  71 102]
  [ 26  71 102]
  [ 26  71 102]]

 [[ 27  72  95]
  [ 27  72  95]
  [ 27  72  95]
  ...
  [ 27  72 103]
  [ 27  72 103]
  [ 27  72 103]]

 ...

 [[  0   0   5]
  [  0   0   5]
  [  0   0   5]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   5]
  [  0   0   5]
  [  0   0   5]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   5]
  [  0   0   5]
  [  0   0   7]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]","[array([72.12706883, 77.71748647, 81.27360402])]","[array([ 8.55205442,  7.68775826, 12.93558094]), array([154.13787999, 155.91070579, 147.48966429]), array([66.26558902, 55.05208149, 57.779938  ]), array([230.34853693, 228.88778449, 215.56442174]), array([ 68.04090589, 101.51006734, 116.69553419])]"
10,Jeffrey Epstein: Filthy Rich,2020,United States of America,USA,Americas,6.3,1880.0,"TV Series, Documentary, TV Miniseries, Based On A True Story, Biography, Sexual Abuse",Men,Women,covers/JeffreyEpsteinFilthyRichTVMiniseries.jpg,"[[[29 34 37]
  [34 39 42]
  [36 42 42]
  ...
  [20 29 36]
  [20 27 35]
  [21 28 36]]

 [[35 40 43]
  [40 45 48]
  [41 47 47]
  ...
  [16 25 32]
  [16 23 31]
  [17 24 32]]

 [[36 44 46]
  [41 49 51]
  [41 50 49]
  ...
  [18 27 34]
  [17 24 32]
  [18 25 33]]

 ...

 [[12 17 20]
  [12 17 20]
  [12 17 20]
  ...
  [20 31 17]
  [21 31 20]
  [22 32 21]]

 [[12 17 20]
  [12 17 20]
  [12 17 20]
  ...
  [17 27 18]
  [18 28 19]
  [19 29 20]]

 [[12 17 20]
  [12 17 20]
  [12 17 20]
  ...
  [20 30 22]
  [21 31 23]
  [21 31 23]]]","[array([74.00225976, 76.58810811, 66.41201952])]","[array([143.13795596, 143.60690108, 122.57640486]), array([25.48542043, 27.83300509, 24.4232179 ]), array([95.60579225, 97.76283936, 81.56811188]), array([54.36398745, 59.47253856, 52.11204002]), array([223.05447942, 216.33232446, 200.93432203])]"
