,Genre,GREEN_Cover,BLUE_Cover,RED_Cover,YELLOW_Cover,MAGENTA_Cover,CYAN_Cover,BROWN_Cover,ORANGE_Cover,GREY_Cover,PURPLE_Cover
0,Thriller,0,0,76,23,2,335,360,183,392,70
1,Mystery,0,0,17,5,1,61,63,37,71,14
2,Heist Film,0,0,6,2,0,14,13,9,15,3
3,Kidnapping Film / Disappearance,0,0,4,1,0,19,21,13,22,9
4,Drama,2,4,129,60,9,736,809,415,840,210
5,Crime,0,1,50,19,3,163,174,107,185,40
6,Spy Film,0,0,2,1,0,7,7,7,8,2
7,Drama,0,0,0,1,0,11,11,3,11,2
8,Action,0,1,40,16,0,144,146,93,162,35
9,Cop Movies,0,0,3,2,0,28,30,13,31,5
10,Teen/coming-of-age,0,1,10,13,1,50,55,38,56,20
11,Schools & University,0,1,8,3,1,27,28,14,30,12
12,Bullying,0,1,0,0,1,1,2,1,2,1
13,Supernatural,0,0,7,4,0,38,41,18,43,11
14,Time Travel,0,0,0,0,0,10,11,2,11,6
15,1980s,0,0,2,1,1,13,13,7,15,3
16,Based on a Comic,0,0,8,5,0,36,38,23,44,11
17,Fantasy,1,0,35,17,0,151,160,98,173,64
18,Superheroes,0,0,7,6,1,19,21,16,24,11
19,Mafia,0,0,9,2,0,32,35,18,36,4
20,1910s,0,0,0,0,0,1,2,2,2,0
21,1920s,0,0,0,0,0,3,4,3,4,1
22,Neo-noir,0,0,3,0,0,10,10,6,12,3
23,Musical,0,0,10,5,1,21,24,17,26,15
24,Revenge,0,1,3,0,1,7,9,6,8,2
25,Telenovela / Latino Soap Opera,0,0,2,1,0,13,15,9,15,5
26,Documentary,0,0,6,3,0,28,32,22,36,13
27,TV Miniseries,0,0,5,0,0,29,27,14,30,8
28,Based On A True Story,0,0,3,0,0,28,32,15,32,5
29,Biography,0,0,4,0,0,22,23,9,23,5
30,Sexual Abuse,0,0,0,0,0,2,2,1,2,0
31,Science fiction,1,0,11,12,0,80,75,35,90,34
32,Trains,0,0,0,0,0,2,1,1,2,1
33,Post-apocalyptic Future,0,1,0,1,0,11,10,2,12,3
34,Dystopia,0,0,0,0,0,11,6,3,11,3
35,Drugs,0,0,5,1,0,23,25,14,25,2
36,Journalism,0,0,0,0,0,3,3,1,3,0
37,Comedy,1,0,6,3,0,14,16,13,16,2
38,Disease/illness,0,0,1,0,0,5,4,3,5,1
39,Family,1,0,9,6,0,34,39,28,38,9
40,1970s,0,0,2,0,0,9,9,4,9,1
41,1990s,0,0,2,1,0,8,11,5,11,2
42,Planes,0,0,0,0,0,0,1,1,1,1
43,Romance,0,0,41,17,0,150,167,104,171,48
44,Adventure,0,1,26,18,0,113,116,70,124,41
45,Superheroes,0,0,5,6,0,20,21,13,25,9
46,Drama,0,0,1,0,0,6,7,5,7,2
47,Motorcycle,0,0,1,0,0,1,1,1,1,0
48,Thriller,0,0,3,2,0,11,13,7,16,4
49,Anthology Series,0,0,2,0,0,3,2,2,3,1
50,Remake,0,0,22,11,0,65,73,48,77,20
51,Sequel,0,0,17,8,0,44,47,37,51,16
52,Computers / Internet,0,0,0,0,0,5,2,0,5,4
53,Comedy,2,1,61,42,1,215,231,172,237,88
54,Sitcom,0,0,9,7,0,31,34,25,34,11
55,Buddy Film,0,0,2,2,0,13,12,10,14,4
56,Documentary,0,0,1,0,0,3,5,2,5,2
57,Politics,0,0,3,0,0,7,7,4,7,3
58,Martial Arts,0,0,4,0,0,9,11,10,11,4
59,Superheroes,0,0,2,1,0,15,18,8,18,8
60,Arab-Israeli conflict,0,0,0,0,0,2,2,1,2,0
61,Terrorism,0,0,3,1,0,14,15,8,16,2
62,Spin-off,2,1,15,10,1,36,43,31,44,20
63,Prequel,0,0,4,1,0,12,11,8,13,4
64,Serial Killers,0,0,4,0,0,10,12,6,12,3
65,Immigration,0,0,0,0,0,1,1,1,1,0
66,Sherlock Holmes,0,0,0,1,0,4,2,1,4,0
67,Animation,4,1,51,32,0,155,164,122,170,74
68,Manga,0,0,20,9,0,60,61,46,66,27
69,Parody,1,0,1,2,0,4,4,4,5,4
70,Racism,0,0,2,3,0,13,14,6,15,4
71,Melodrama,0,0,1,0,0,7,8,5,8,1
72,Webseries,0,0,0,2,0,3,4,1,4,3
73,Adventure,0,0,2,0,0,5,4,3,5,4
74,1940s,0,0,0,0,0,6,6,2,6,1
75,19th Century,0,0,3,0,0,7,7,4,9,4
76,Crime,0,0,5,1,0,12,12,9,13,1
77,Family,0,0,3,2,0,5,7,7,7,3
78,Friendship,0,0,4,4,0,32,32,22,34,9
79,Sexuality & Porn,0,0,1,0,0,2,2,1,2,0
80,Mathematics,0,0,0,0,0,2,2,0,2,1
81,Surrealism,1,0,2,3,0,7,6,5,7,4
82,Comedy,0,0,1,1,0,8,7,5,8,5
83,Vampires,0,0,3,0,0,11,12,5,14,6
84,Kids,2,0,10,9,0,34,39,31,39,24
85,Comedy,0,1,1,1,1,9,10,8,10,4
86,Dramatic comedy,0,0,0,2,0,8,8,7,8,1
87,Based on a Video Game,1,0,7,5,0,25,26,16,27,11
88,Childhood,0,0,2,0,0,4,7,5,7,3
89,Dogs/Wolves,0,0,0,1,0,5,5,3,5,3
90,Family,1,0,6,3,0,22,24,16,25,10
91,Gay & Lesbian,0,0,1,1,1,8,8,4,9,3
92,Small Town Life (North-american),0,0,1,0,0,4,4,3,4,0
93,Horror,0,0,14,2,0,60,71,32,75,16
94,Zombies,0,0,1,1,0,11,10,6,11,4
95,Cats,0,0,2,0,0,4,5,4,5,2
96,3D,0,0,4,3,0,26,26,18,31,8
97,Autism,0,0,0,0,0,2,2,1,2,0
98,Middle Ages,0,0,0,0,0,8,8,2,8,2
99,Fantasy,0,0,2,2,0,11,11,5,11,4
100,Animals,0,0,4,4,0,15,16,12,17,9
101,Job/Employment,0,0,0,0,0,3,2,0,3,3
102,Education,0,0,5,0,0,5,6,5,6,3
103,Music,0,0,12,6,1,28,34,22,36,19
104,Bears,0,0,0,3,0,4,4,3,4,1
105,Fashion,0,0,0,1,1,0,1,1,2,2
106,Satire,0,0,3,1,0,5,6,5,7,2
107,Drama,0,0,1,0,0,11,11,6,11,2
108,Witchcraft,0,0,2,0,0,10,14,10,15,4
109,Sports,0,0,2,0,0,22,20,11,22,7
110,Adolescence,0,0,8,7,0,45,54,31,55,17
111,Dragons,0,0,4,1,0,9,9,6,9,4
112,End of the World,0,0,0,2,0,1,2,2,2,0
113,Monsters,0,0,3,0,0,10,10,6,11,4
114,Documentary,0,0,2,1,0,3,4,2,4,2
115,Basketball,0,0,1,0,0,1,2,1,2,1
116,Survival Film,0,0,2,0,0,12,10,5,13,2
117,1930s,0,0,0,1,0,4,5,2,5,1
118,Educational,0,0,2,0,0,2,2,2,2,2
119,Preschool,1,0,4,2,0,4,5,5,5,2
120,Christmas,0,0,1,0,0,10,10,8,10,3
121,Adoption,0,0,1,0,0,3,4,3,4,2
122,War,0,0,2,2,0,13,11,5,13,4
123,Historical,0,0,0,0,0,5,5,1,5,0
124,Vikings,0,0,1,0,0,5,5,1,5,2
125,9th Century,0,0,3,0,0,10,10,4,12,4
126,Ninjas,0,0,3,0,0,3,4,3,4,2
127,Interactive film,0,0,2,1,0,4,4,3,4,0
128,18th Century,0,0,0,0,0,3,3,0,3,0
129,Horses,0,0,0,0,0,3,3,2,3,2
130,Werewolf,0,0,0,0,0,5,6,2,7,1
131,Religion,0,0,0,1,0,4,5,3,5,2
132,Cop Movies,0,0,4,2,0,30,30,13,31,8
133,Kidnapping Film / Disappearance,0,0,7,1,0,21,22,12,23,3
134,1960s,0,0,2,0,0,9,9,4,9,0
135,Boxing,0,0,0,0,0,1,1,1,1,0
136,Sports,0,0,2,2,0,7,6,6,8,3
137,Robots,0,0,3,1,0,13,11,7,14,7
138,Magic,0,0,4,0,0,18,24,15,25,10
139,Drama,0,0,1,0,0,5,8,4,8,2
140,Stage Play,0,0,0,0,0,1,1,0,1,1
141,Animation,1,0,5,3,0,12,13,10,13,5
142,Steampunk,0,0,1,1,0,10,7,4,11,4
143,15th Century,0,0,0,0,0,1,1,0,1,1
144,Gambling,0,0,2,0,0,2,2,2,2,0
145,Gore,0,0,6,0,0,14,14,10,16,1
146,Comedy,0,0,11,3,0,24,25,21,26,5
147,Exorcism/Evil Possession,0,0,0,0,0,7,7,2,8,0
148,Cyberpunk,0,0,0,0,0,6,4,1,6,2
149,Chess,0,0,0,0,0,1,1,0,1,1
150,Samurai,0,0,0,0,0,1,1,0,1,0
151,Feudal Japan,0,0,0,0,0,1,1,0,1,0
152,Mythology,0,0,1,0,0,0,1,1,1,1
153,Sword and Sorcery,0,0,2,0,0,3,4,2,4,2
154,Adventure,0,0,1,0,0,5,5,4,6,0
155,Aliens,0,0,0,1,0,14,10,4,15,2
156,Roman Empire,0,0,0,0,0,1,1,1,1,0
157,Slavery,0,0,0,0,0,1,1,1,1,0
158,Erotic,0,0,0,0,0,2,3,3,3,0
159,Pandemic,0,0,0,0,0,5,5,1,5,1
160,Pirates,0,0,0,0,0,2,1,0,2,0
161,Star Trek,0,0,1,0,0,1,2,1,2,1
162,13th Century,0,0,1,0,0,1,1,1,1,1
163,Ancient Greece,0,0,0,0,0,3,3,2,3,0
164,Fairy Tales / Fables,0,0,1,1,0,8,8,3,9,4
165,Young Adult,0,0,0,1,0,15,14,5,16,4
166,Transgender,0,0,0,0,1,0,0,0,1,1
167,AIDS,0,0,0,0,1,0,0,0,1,1
168,Nature,0,0,1,1,0,4,7,5,7,5
169,Car Movies,0,0,2,0,0,6,6,3,6,2
170,Film In Film,0,0,2,0,0,3,3,3,3,0
171,Comedy,0,0,2,0,0,4,6,4,6,4
172,Medicina,0,0,1,0,0,7,5,1,8,4
173,Prostitution,0,0,0,0,0,1,2,1,2,2
174,Live-Action,0,0,2,3,0,7,7,6,8,2
175,Dancing,0,0,1,2,0,2,3,3,3,1
176,Slasher,0,0,4,0,0,10,9,5,11,5
177,17th Century,0,0,0,0,0,1,1,1,1,0
178,IRA,0,0,0,0,0,1,1,0,1,0
179,Tennis,0,0,1,0,0,1,1,1,1,0
