,Title,Reviews_x,Most_Common_Gender_Cast,Most_Common_Gender_Directors
0,Money Heist,"""[4th Season Review]: [It] is like an extended heist movie except it gets pacier with every episode (…) Rating: ★★★★★ (out of 5)"" , ""[4th Season Review]: [It] is peerless escapism. But ennui is setting in"" , ""[4th Season Review]: [It] gets off to a pretty good start although the slower pace and more confined spaces our characters find themselves in lacks some of the early season tension felt last time out (…) Rating: ★★★½ (out of 5)"" , ""MONEY HEIST, aka CASA DE PAPEL: The current season [S3] tops the first one. It's exciting and hilarious."" , ""[2nd Season Review]: If you want a thriller with visual panache — like freaky Dalí masks — try this. —"" , ""[2nd Season Review]: [It] continues to thrive thanks to its ensemble cast. It’s wildly suspenseful, addictive, and at times, infuriating, but those are all the makings for the best kind of heist thriller."" , ""You won't be disappointed. The intrigue, wit and humor of the colorful characters, the action, suspense and inventive storyline will keep you glued to the screen."" , ""None of the essentially claustrophobic atmosphere has been shed: it’s still a glorious 'Peaky Blinders', just with tapas and subtitles."" ",Men,Men
1,The Blacklist,"""His name is above the title and, depending how you feel about James Spader, NBC’s 'The Blacklist' may become your favorite fall show."" , ""The pilot episode is stylish and swiftly paced, but that’s all it is, and despite some intriguing plot twists, there’s not a lot of motivation to keep coming back."" , ""It’s certainly an intriguing pilot--you can’t take your eyes off of Spader and the writers have thrown in a couple of other interesting twists."" , ""Spader has always been a particularly interesting actor, and he’s well suited to this sort of twisted figure, where so much is going on behind those eyes."" , ""You think you know this situation and how it will turn out, but there are surprise, yet entirely credible, twists."" , ""The many layers of feints and puzzles are compelling, but it’s hard to see how they can last more than a season or two."" ",Men,Men
2,Prison Break,"""A strong cast led by Wentworth Miller (...) It needs to begin peeling away the layers more quickly"" , ""For all its constraints, the series is as suspenseful and addictive as '24' or Showtime's 'Sleeper Cell'."" , ""If the show can stay as gripping as its premiere, though, it will be a welcome new prime-time puzzle"" , ""'Prison Break' doesn't disappoint (...) I've seen the first three hours of 'Prison Break'. Each one flew by quickly, and I'm quite keen to see the fourth."" , ""It works as a two-hour premiere special, one that grabs your attention from its first scene to its startling cliffhanger ending (…) Rating: ★★★ (out of 4)"" , ""High concept TV doesn't get more fun than 'Prison Break' (...) It surely cannot get more nail-bitingly clever than this (…) Rating: ★★★★ (out of 5)"" , ""Plots don't come any dafter than this – 'Prison Break' is trash genius and the tension leaves me literally squawking with stress"" ",Men,Men
3,13 Reasons Why,"""[2nd Season Review]: [It] is a frustratingly unnecessary mess (...) Unfortunately, the season's execution is frequently dismal."" , ""[2nd Season Review]: It’s still captivating viewing (...) The show doesn’t offer solutions, but it does offer empathy. And sometimes, that’s exactly what’s needed."" , ""[2nd Season Review]: [It] is even more insufferable in Season 2 (...) A tawdry, unnecessary exercise (...) There are zero reasons to put yourself through it (…) Rating: ★ (out of 4)"" , ""[2nd Season Review]: The show has sacrificed the momentum associated with season one's structure (...) The flashbacks work notably better than the present-day material"" , ""[2nd Season Review]: A satisfying, self-aware season 2 (...) The writers accurately capture the center-of-my-own-universe angst of the teen mind"" , ""[2nd Season Review]: The strengths (...) remain the same, while the weaknesses (...) have failed to resolve themselves (...) Minnette is a marvel"" , ""'13 Reasons Why' is undoubtedly sincere, but it’s also, in many important ways, creatively successful"" , ""The drama is sensitive, surprising, consistently engaging, and, most important, unblinking."" , ""[It] tackles its touchy subject in a thoughtful and interesting way"" , ""A frank, authentically affecting portrait of what it feels like to be young, lost, and too fragile for the world."" , ""An insistently intense dramatization of teenage suicide (...) makes its point in spite of a gimmicky narrative structure and widespread character inconsistencies"" , ""It presents a compelling vision of the teenage experience, reminiscent of Sofia Coppola’s 'The Virgin Suicides' (...) Langford is outstanding."" ",Men,Men
4,Dark,"""[2nd Season Review]: 'Dark' has lofty narrative ambitions, and it continues to nail them at every twist and turn (...) Everything viewers loved about the German series in Season 1 is still there in Season 2"" , ""[2nd Season Review]: [It] is defiantly bizarre, twisty, and more addictive than ever (...) It does offer an existential playground that few other shows dare venture into"" , [2nd Season Review]: Baran bo Odar and Jantje Friese reward your patience with some stellar WTF moments (...) A tightly-woven tapestry of compelling stories and memorable performances"" , ""[2nd Season Review]: [It has] a knack for turning complexity and mystery into satisfying storytelling (...) [It] maintains an overall sense of mystery without becoming ponderous, plodding, or repetitive."" , ""[2nd Season Review]: Deliciously creepy (...) 'Dark', with its absolute sincerity and lush production, is a luxurious myth (…) Rating: ★★★★ (out of 5)"" , ""'Dark' hits all of the finer points that helped propel series like 'The OA' and 'Stranger Things' to atmospheric success"" , ""[It] is far spookier than 'Stranger Things' (...) 'Dark's storyline manages to be at once simple and mind-bending (…) Rating: ★★★★ (out of 5)"" , ""Through five of its first 10 episodes, 'Dark' is tremendously successful at making me unsure of what's going on and how its world is operating — and largely unsuccessful at making me care beyond that."" , ""The point of a story like this is where it takes you, and this does take you somewhere rich and strange. As familiar as its elements may be, its pleasures are particular and many."" , ""If you’re willing to buy into 'Dark's puzzle, the rewards will be great"" , ""After that promising teaser, 'Dark' becomes terribly familiar (...) Watching 'Dark', you might be left with the idea that there are no new ideas. Only remakes and reruns."" ",Men,Men
5,Riverdale,"""That 'Riverdale' is contradictory is part of its charm (...) Although I can list questions I don't need answers to and relationships I'm not invested in, 'Riverdale' is all-in on its gimmick, and I can admire that."" , ""'Riverdale', the CW’s new teen drama based on the 'Archie' comics, is an eerie and offbeat take on the high school mythos--both addictive and confusing in equal parts."" , ""If the tone is not yet consistent, the aesthetic is, a strong sign that 'Riverdale' knows what it wants to be. The terrific art direction warps the bubble-gum iconography into something haunting and lurid."" , ""A darker, more realistic 'Archie' universe (...) This is the best young adult cast for any drama in years."" , ""A twisted but often satisfying alternative spin on the Archieverse."" ",Men,Men
6,Lucifer,"""'Lucifer' certainly has a sense of atmosphere, and has some fun with little touches (...) Still, it’s  (...) a slightly sulfurous version of 'Bones' or (...) 'Rosewood'."" , ""The conventional crime-time format incinerates everything strange and spirited about the concept."" , ""There’s nice but predictable chemistry between Ellis and German (...) the show’s concept is so obvious, it’s easy to see exactly where this will go, unless it gets canceled first."" , ""'Lucifer' arrives with all of the superficial flash you'd expect from a Len Wiseman-directed pilot. But (...) this new drama doesn't begin to show sparks of interest until at least the fifth episode."" , ""Mr. Ellis was born in Wales, and the creators of this incoherent mess apparently hope that his accent will convey rakishness and arch sophistication. Instead you just want to wipe the perpetual smirk off his face."" ",Men,Men
7,Peaky Blinders,"""[5th Season Review]: Good news (...) the formula is the same. (…) Rating: ★★★ (out of 5)"" , ""[5th Season Review]: It still punches hard, offering big payoffs and even bigger revelations."" , ""[5th Season Review]: It is refreshing (...) to see that even in its fifth season, the series can still ratchet up the tension and put the squeeze on its unlawful family in such a confident and entertaining way."" , ""[5th Season Review]: A heady, chaotic series, with multiplying plotlines and more enemies than we could count"" , ""[5th Season Review]: Visually stunning and crammed full of compelling performances."" , ""[4th Season Review]: Lovingly shot, impeccably dressed (set and costume) and manages to convey a serious amount of plot information without the dialogue ever feeling clunky or expository."" , ""[4th Season Review]: Ferocious and fantastic (...) 'Peaky' is always reaching for something bigger and better (...) A stunning series opener"" , ""[4th Season Review]: As Michael added (...) 'We’re not the Peaky Blinders unless we’re together'. A thrilling way to reboot the action, reunite the gang and set up the new series."" , ""[2nd Season Review]: This second series, more confident and wider in scope, eclipsed the first. (...) Rating: ★★★★ (out of five)"" , ""'Peaky Blinders' is literate (...) and sometimes great looking (...) But for a sprawling soap opera (...) it doesn’t have quite enough juice."" , ""It’s a respectable but chilly effort."" , ""'Peaky Blinders' is laudable for its ambition alone, all too rare in primetime drama. The pace, too, is breathtaking. While this occasionally leads to some clunky exposition, the powerful performances excuse everything."" ",Men,Men
8,Jeffrey Epstein: Filthy Rich,"""It’s a worthwhile piece of work, if a painful watch."" , ""Powerful tale of sexual predation, legal failure and ruined lives (…) Rating: ★★★★ (out of 5)"" , ""Epstein’s story is disturbing, horrifying, and also fascinating (...) 'Filthy Rich' does an excellent job of laying out all the details, painting a disturbing portrait of Epstein’s world"" , ""A four-part doc that's eye-opening at certain points and self-protectively myopic at others"" , ""Your level of engagement with the series will depend on how much stomach you have for hearing about Epstein’s crimes and abuses of power"" , ""What the Netflix docu-series accomplishes most effectively is to capture the helplessness that survivors of Epstein's abuse say they felt."" , ""Middling Netflix docuseries is a waste of time (...) This mediocre series dishonors survivors of his abuse."" , ""We listen, and we empathize (...) There's a bigger, broader story to be told about Epstein (...) For now, 'Filthy Rich' is a good start."" , ""Their testimonies are heartbreaking, and every single one of them is brave to go on camera (...) However, their courage alone doesn’t shape 'Jeffrey Epstein: Filthy Rich' into an accomplished documentary (…) Rating: ★★ (out of 4)"" , ""A must-watch docuseries, highlighting the evil, the errors of the system, and the horrifying stories of the victims (…) Rating: ★★★★ (out of 5)"" ",Men,Women
9,Snowpiercer,"""The result is watchable, but not much more (...) It’s revealing how little, and rarely, “Snowpiercer” really feels set on a train. One never senses the jostling movement of wheels over tracks:"" , ""[It] has lost track of what made the film so special (...) It's a clearly inferior version of something that was already great and never needed to be revisited again (…) Rating: ★★ (out of 5)"" , ""The more additions Manson and co. make to 'Snowpiercer's architecture and world-building, the more ungainly that world becomes"" , ""[A] tonally uneven, narratively confusing TV adaptation (...) A mess, full of half-developed characters, illogical plot choices and incompletely realized social satire"" , ""For about four episodes, 'Snowpiercer' veers way too close to becoming a TNT police procedural (...) As a season of escapist adventure, you could do far worse"" , ""A frustrating exercise in adaptation (...) While 'Snowpiercer' is not necessarily unwatchable, but it’s certainly not easy to remain engaged from episode to episode"" , ""Despite its minor lapses, though, 'Snowpiercer' is both a diverting and, as it happens, timely entertainment (…) Rating: ★★★★ (out of 5)"" , ""'SNOWPIERCER' is a harmless summer television series and one that pales in the shadow of the acclaimed feature film that preceded it."" ",Women,Men
